ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/tori/プレゼンテーション1/スライド1.JPG	-58.5,37.5,100	0,0,1	0,1,0	-1,0,0	-65.52445	-10.5	0.2	4	Wooden_thin2	-1:-1	0
3	./Images/tori/プレゼンテーション1/スライド2.JPG	-58.5,37.5,100	0,0,1	0,1,0	-1,0,0	-19.80132	-19.06801	0.2	1.5	none(caption)	-1:-1	2
5	./Images/tori/スクリーンショット 2023-08-25 184000.png	-58.5,37.5,100	0,0,1	0,1,0	-1,0,0	-19.73917	-7.885498	0.2	1.3	Metal	-1:-1	4
6	./Images/tori/iOS の画像 (12).jpg	-58.5,37.5,100	0,0,1	0,1,0	-1,0,0	3.861824	-12.61049	0.2	2.5	Wooden_thin	-1:-1	5
8	./Images/tori/kawaaisa.png	-58.5,37.5,100	0,0,1	0,1,0	-1,0,0	52.69242	-9.744003	0.2	2	Wooden_thin2	-1:-1	7
9	./Images/tori/プレゼンテーション1/スクリーンショット 2023-08-25 191912.png	-58.5,37.5,100	0,0,1	0,1,0	-1,0,0	32.79495	-18.94201	0.2	1.5	none(caption)	-1:-1	8
10	./Images/tori/スクリーンショット 2023-08-25 184303.png	0,37.5,197.5	1,0,0	0,1,0	0,0,1	-43.61356	-6.688499	0.2	1.3	WoodenBlack	-1:-1	9
11	./Images/tori/プレゼンテーション1/スライド4.JPG	0,37.5,197.5	1,0,0	0,1,0	0,0,1	-43.74512	-17.052	0.2	1.5	none(caption)	-1:-1	10
12	./Images/tori/IMG_4831.JPG	0,37.5,197.5	1,0,0	0,1,0	0,0,1	-23.65864	-10.9095	0.2	2	Wooden	-1:-1	11
13	./Images/tori/スクリーンショット 2023-08-25 184330.png	-58.5,37.5,100	0,0,1	0,1,0	-1,0,0	32.73582	-8.169	0.2	1.3	MetalGold	-1:-1	12
14	./Images/tori/スクリーンショット 2023-08-25 184243.png	0,37.5,197.5	1,0,0	0,1,0	0,0,1	6.482767	-6.373497	0.2	1.3	Metal	-1:-1	13
15	./Images/tori/プレゼンテーション1/スライド5.JPG	0,37.5,197.5	1,0,0	0,1,0	0,0,1	6.509334	-17.7765	0.2	1.5	none(caption)	-1:-1	14
16	./Images/tori/mikoaisa.png	0,37.5,197.5	1,0,0	0,1,0	0,0,1	24.56406	-11.1615	0.2	1.3	Wooden_thin	-1:-1	15
17	./Images/tori/スクリーンショット 2023-08-25 184412.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	-75.76363	-3.696001	0.2	2	Wooden_thin	-1:-1	16
18	./Images/tori/プレゼンテーション1/スライド6.JPG	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	-76.04144	-17.3985	0.2	1.5	none(caption)	-1:-1	17
19	./Images/tori/スクリーンショット 2023-08-25 191004.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	-46.50996	-8.515501	0.2	3	MetalGold	-1:-1	18
20	./Images/tori/スクリーンショット 2023-08-25 184609.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	-9.13832	-4.798498	0.2	1	Wooden_thin	-1:-1	19
21	./Images/tori/スクリーンショット 2023-08-25 190756.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	4.486645	-4.767001	0.2	1.4	Wooden_thin	-1:-1	20
22	./Images/tori/プレゼンテーション1/スライド7.JPG	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	-2.638741	-15.099	0.2	1.5	none(caption)	-1:-1	21
23	./Images/tori/スクリーンショット 2023-08-25 184726.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	29.27092	-3.254997	0.2	1	WoodenWhite	-1:-1	1
24	./Images/tori/benibato.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	44.14318	-4.578001	0.2	1.4	WoodenWhite	-1:-1	2
25	./Images/tori/プレゼンテーション1/スライド8.JPG	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	35.93329	-15.855	0.2	1.5	none(caption)	-1:-1	3
27	./Images/tori/プレゼンテーション1/スライド9.JPG	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	77.17177	-10.5	0.2	1	none(caption)	-1:-1	5
28	./Images/tori/プレゼンテーション1/スライド10.JPG	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	63.88099	-10.5	0.2	1	none(caption)	-1:-1	6
30	./Images/tori/スクリーンショット 2023-08-25 184852.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	73.9875	-3.381001	0.2	2	MetalGold	-1:-1	8
