ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/Penguin/penguin1.png	39,22.5,40	0,0,-1	0,1,0	1,0,0	-15.87738	3.514476	0.2	3	Wooden_thin	-1:-1	0
2	./Images/Penguin/penguin2.png	0,22.5,79	1,0,0	0,1,0	0,0,1	-10.0836	3.680973	0.2	3.5	Wooden_thin	-1:-1	1
4	./Images/Penguin/penguin4.png	-39,22.5,40	0,0,1	0,1,0	-1,0,0	-19.3039	2.97898	0.2	2.5	Wooden_thin	-1:-1	3
5	./Images/Penguin/panel2.png	39,30,40	0,0,-1	0,1,0	1,0,0	15.13396	-4.174498	0.2	1.3	none(caption)	-1:-1	51
6	./Images/Penguin/panel1.png	27.5,30,0.5	-1,0,0	0,1,0	0,0,-1	1.431199	-4.183498	0.2	1.3	none(caption)	-1:-1	52
7	./Images/Penguin/panel3.png	0,30,79	1,0,0	0,1,0	0,0,1	24.06353	-3.992997	0.2	1.3	none(caption)	-1:-1	53
8	./Images/Penguin/panel4.png	-39,30,40	0,0,1	0,1,0	-1,0,0	26.48886	-3.821996	0.2	1.3	none(caption)	-1:-1	54
9	./Images/Penguin/penguin3.png	-39,30,40	0,0,1	0,1,0	-1,0,0	6.785175	-4.123498	0.2	1.5	Wooden_thin	-1:-1	55
11	./Images/Penguin/foot.png	-27.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-6.515378	-17.1435	0.2	0.5	none(caption)	-1:-1	57
12	./Images/Penguin/foot.png	-27.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-4.039058	-13.89899	0.2	0.5	none(caption)	-1:-1	58
13	./Images/Penguin/foot.png	-27.5,30,0.5	-1,0,0	0,1,0	0,0,-1	0.6143185	-21.99449	0.2	0.3	none(caption)	-1:-1	59
14	./Images/Penguin/foot.png	-27.5,30,0.5	-1,0,0	0,1,0	0,0,-1	3.460543	-21.58499	0.2	0.3	none(caption)	-1:-1	60
15	./Images/Penguin/caption1.png	39,30,40	0,0,-1	0,1,0	1,0,0	-3.067312	-18.94956	0.2	0.5	none(caption)	-1:-1	78
16	./Images/Penguin/caption_3d.png	39,30,40	0,0,-1	0,1,0	1,0,0	23.59955	-23.47498	0.2	0.5	none(caption)	-1:-1	79
17	./Images/Penguin/caption2.png	0,30,79	1,0,0	0,1,0	0,0,1	5.380746	-20.15559	0.2	0.5	none(caption)	-1:-1	80
18	./Images/Penguin/caption3.png	-39,30,40	0,0,1	0,1,0	-1,0,0	12.09918	-17.676	0.2	0.5	none(caption)	-1:-1	81
19	./Images/Penguin/caption4.png	-39,30,40	0,0,1	0,1,0	-1,0,0	-9.103714	-18.16201	0.2	0.5	none(caption)	-1:-1	82
