id	next	previous	captioning	pos	angle	audio	launchAngle
1	-1	-1		0.9121975,7.900605,28.63693	-0.9049345,0,0.4255509		3.899993
2	-1	-1		-26.73859,8.179943,34.59539	-0.999911,0,-0.01334214		2.849993
3	-1	-1		-27.47628,8.179943,89.88016	-0.999911,0,-0.01334214		2.849993
4	-1	-1		-40.67934,7.505434,77.04819	-0.9999177,0,0.01283711		5.549995
5	-1	-1		-40.31171,7.505434,105.6871	-0.9999177,0,0.01283711		5.549995
6	-1	-1		-22.54848,8.098317,140.0981	-0.9999177,0,0.01283711		3.149994
7	-1	-1		-39.96993,7.786942,132.3721	-0.9999877,0,0		4.349994
8	-1	-1		-39.93643,9.000002,151.6912	-0.9997283,0,0.02330774		-6.22496E-06
9	-1	-1		-37.55698,9.525257,163.8525	0,0,0.9999972		-1.800018
10	-1	-1		-45.14664,7.978524,180.5169	-0.01334173,0,0.999911		3.599994
11	-1	-1		-26.49987,7.978524,180.7657	-0.01334173,0,0.999911		3.599994
12	-1	-1		10.96097,8.262835,169.2749	0.01021964,0,0.9999478		2.549993
13	-1	-1		3.747934,8.262835,180.6739	0.01021964,0,0.9999478		2.549993
14	-1	-1		22.4393,8.262835,184.4785	0.01021964,0,0.9999478		2.549993
15	-1	-1		16.5721,9.220539,165.9849	0.9996507,0,0.02642917		-0.75
16	-1	-1		38.24614,9.264458,177.885	0.9999959,0,0		-0.8999939
17	-1	-1		38.33987,9.264458,145.2444	0.9999959,0,0		-0.8999939
18	-1	-1		31.13831,9.264458,101.2618	0.9999959,0,0		-0.8999939
19	-1	-1		41.12138,8.911667,106.8658	0.9998274,0,0.01857728		0.2999933
20	-1	-1		41.35747,10.39296,94.30837	0.9999972,0,0		-5.100006
21	-1	-1		24.98592,9.395543,67.69301	0.9999477,0,-0.01021862		-1.350006
22	-1	-1		41.01625,9.610743,72.19221	0.9993377,0,-0.03639067		-2.100006
23	-1	-1		44.56588,10.73927,60.06514	0.9995927,0,-0.02854085		-6.75
24	-1	-1		27.48892,10.06064,27.83776	0.9987757,0,-0.04946816		-3.75
25	-1	-1		39.70696,9.610743,30.45939	0.9980426,0,-0.06253743		-2.100006
26	-1	-1		38.26441,10.28653,33.57371	0.03166471,0,-0.9994986		-4.650024
27	-1	-1		41.52036,11.25,19.90251	0.08914771,0,-0.9960185		-13.05002
28	-1	-1		34.11465,7.129196,17.25467	-0.05469557,0,-0.9985032		7.499989
29	-1	-1		-4.893253,9.82006,57.61604	0.8887343,0,-0.4584227		-2.850006
30	-1	-1		-24.28967,10.358,22.29336	0.3211978,0,0.9470121		-4.950012

