id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	30	58.5	10.81868	23.44811	109.6636	144	30.47128	1.287046	1,1,1,1
2	spot	30	58.5	16.74573	18.18425	4.494416	88	30.47128	1.906005	1,1,1,1
3	spot	30	58.5	64.63541	5.26386	202.2484	114	18.74362	3.828038	1,1,1,1
4	spot	30	58.5	36.57488	26.31932	263.3723	100	19.84307	3.306808	1,1,1,1
5	spot	0	58.5	48.4686	45.93916	274.1589	95	30.83776	2.362081	1,1,1,1
6	spot	-30	58.5	9.459064	5.263864	296.6309	105	18.74362	3.437116	1,1,1,1
7	spot	0	58.5	16.20354	24.40519	175.282	100	10.31437	3.6	1,1,1,1
8	spot	0	58.5	23.96084	52.63863	174.383	116	18.37713	3.958345	1,1,1,1
9	spot	0	58.5	43.65611	49.76743	177.9787	113	25.34045	3.111348	1,1,1,1
10	spot	-30	58.5	66.67119	20.57692	161.7987	90	29.73829	1.906005	1,1,1,1
11	spot	0	58.5	56.40565	48.82495	224.7204	100	32.30372	2.16662	1,1,1,1
12	spot	0	58.5	37.09995	60.77369	331.6873	104	32.75975	3.046195	1,1,1,1
13	spot	0	58.5	20.64627	56.46689	338.8784	108	30.47128	3.241655	1,1,1,1
14	spot	30	58.5	49.96088	46.89624	258.8779	100	27.53935	2.231774	1,1,1,1
15	spot	0	58.5	29.31472	33.4811	147.7292	100	40	3.6	1,1,1,1
