ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
2	./Images/fly_agaric/Alice.png	0,30,79	1,0,0	0,1,0	0,0,1	-21.8502	-0.9524977	0.2	1.3	Metal	-1:-1	11
3	./Images/fly_agaric/hull.png	0,30,79	1,0,0	0,1,0	0,0,1	1.706996	-1.047	0.2	1.5	Wooden_thin	-1:-1	12
4	./Images/fly_agaric/chim.png	-39,30,40	0,0,1	0,1,0	-1,0,0	-19.92309	-1.992	0.2	1.3	MetalGold	-1:-1	13
5	./Images/fly_agaric/flog.png	-39,30,40	0,0,1	0,1,0	-1,0,0	2.055869	-2.118	0.2	1.3	MetalGold	-1:-1	14
6	./Images/fly_agaric/large.png	39,30,40	0,0,-1	0,1,0	1,0,0	3.19539	6.764997	0.2	1.5	Wooden_thin	-1:-1	15
7	./Images/fly_agaric/small.png	39,30,40	0,0,-1	0,1,0	1,0,0	3.585937	-8.827501	0.2	1.5	Wooden_thin	-1:-1	16
8	./Images/fly_agaric/without.png	39,30,40	0,0,-1	0,1,0	1,0,0	-18.9006	9.6315	0.2	1.2	Wooden_thin	-1:-1	17
9	./Images/fly_agaric/egg.png	39,30,40	0,0,-1	0,1,0	1,0,0	-19.39357	-9.362988	0.2	1.5	Wooden_thin	-1:-1	18
11	./Images/fly_agaric/panel1.png	27.5,30,0.5	-1,0,0	0,1,0	0,0,-1	1.247167	-0.6375002	0.2	1.5	none(caption)	-1:-1	14
12	./Images/fly_agaric/panel2.png	39,30,40	0,0,-1	0,1,0	1,0,0	24.24346	-0.1964996	0.2	1.3	none(caption)	-1:-1	15
13	./Images/fly_agaric/panel3.png	0,30,79	1,0,0	0,1,0	0,0,1	24.32969	-0.8894989	0.2	1.3	none(caption)	-1:-1	16
14	./Images/fly_agaric/panel4.png	-39,30,40	0,0,1	0,1,0	-1,0,0	23.27522	-0.6689997	0.2	1.3	none(caption)	-1:-1	17
15	./Images/fly_agaric/caption_alice.png	0,30,79	1,0,0	0,1,0	0,0,1	-16.27754	-16.545	0.2	0.4	none(caption)	-1:-1	22
16	./Images/fly_agaric/caption_hull.png	0,30,79	1,0,0	0,1,0	0,0,1	7.373151	-14.3085	0.2	0.4	none(caption)	-1:-1	23
17	./Images/fly_agaric/caption_small.png	39,30,40	0,0,-1	0,1,0	1,0,0	9.320505	-16.3245	0.2	0.4	none(caption)	-1:-1	24
18	./Images/fly_agaric/caption_large.png	39,30,40	0,0,-1	0,1,0	1,0,0	8.95481	-0.7320002	0.2	0.4	none(caption)	-1:-1	25
19	./Images/fly_agaric/caption_without.png	39,30,40	0,0,-1	0,1,0	1,0,0	-14.66617	-0.921	0.2	0.4	none(caption)	-1:-1	26
20	./Images/fly_agaric/caption_egg.png	39,30,40	0,0,-1	0,1,0	1,0,0	-13.67217	-17.553	0.2	0.4	none(caption)	-1:-1	27
21	./Images/fly_agaric/caption_chim.png	-39,30,40	0,0,1	0,1,0	-1,0,0	-14.2949	-16.482	0.2	0.4	none(caption)	-1:-1	28
22	./Images/fly_agaric/caption_frog.png	-39,30,40	0,0,1	0,1,0	-1,0,0	8.003198	-17.6475	0.2	0.4	none(caption)	-1:-1	29
24	./Images/fly_agaric/caption_3d.png	0,30,79	1,0,0	0,1,0	0,0,1	20.71187	-19.6635	0.2	0.4	none(caption)	-1:-1	31
