id	next	previous	captioning	pos	angle	audio	launchAngle
2	3	-1		23.7754,8.976067,37.46616	0,0,-0.9999712		0.08126393
3	5	2		10.65168,9.279027,15.90998	0.9999343,0,0.01146781		-0.9498291
4	6	5		11.08546,6.75,35.24733	0.9994284,0,-0.0338105		12.37662
5	4	3		4.420819,10.86713,35.16644	0.9998612,0,-0.01665878		-7.47757
6	7	4		2.829108,11.11597,57.15587	0.9990528,0,-0.04351485		-9.349854
7	8	6		7.49523,6.841662,57.21251	0.9999942,0,0		9.811918
8	9	7		26.94814,6.75,38.65125	-0.03175566,0,0.9994957		38.97526
9	10	8		11.54868,6.75,42.96664	0.5971126,0,0.8021574		39.47155
10	11	9		23.16905,9.213972,50.2109	0,0,0.9999547		-0.7276001
11	12	10		1.195982,8.612099,50.53862	0,0,0.9999797		1.323657
12	13	11		-22.80448,8.18006,50.43579	0,0,0.9999989		2.849571
13	14	12		-16.29585,9.315458,61.20335	-1,0,0		-1.074615
14	15	13		-10.67766,7.856726,41.94964	-0.9996129,0,-0.02782261		4.071845
15	16	14		-10.38258,8.09227,21.95272	-0.9999612,0,0		3.172419
16	17	15		-17.53827,6.75,40.12455	-0.3025357,0,-0.9531381		38.72313
17	-1	16		-1.980641,6.75,26.52663	-0.9420844,0,-0.3353759		43.22247

