id	next	previous	captioning	pos	angle	audio	launchAngle
4	5	-1		25.27109,8.018088,27.09478	0,0,-0.9999952		3.45E+00
5	6	4		-3.470913,6.75,30.47223	0.8412552,0,-0.5406381		22.34999
6	7	5		10.99804,8.098312,25.22859	0.9992117,0,-0.0396986		3.150013
7	8	6		8.140862,7.900599,53.6822	0.9975333,0,0.07019556		3.900013
8	9	7		25.13246,8.346856,51.82083	-0.02576231,0,0.9996681		2.250012
9	10	8		-8.06394,8.304708,46.29747	0.02659033,0,0.9996464		2.400013
10	11	9		-15.71967,7.9006,62.46405	-0.9997723,0,0.0213384		3.900012
11	12	10		-10.69548,7.9006,49.93693	-0.9995967,0,-0.02839994		3.900012
12	13	11		-9.995013,7.9006,25.28236	-0.9995967,0,-0.02839994		3.900012
13	-1	12		-12.26743,6.75,31.05514	-0.4166213,0,-0.9090801		16.65001
