id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	0	58.5	35.17352	53.57855	53.93282	88	24.65861	2.963615	1,1,1,1
3	spot	0	58.5	26.81889	50.54578	3.762762	81	23.63585	2.099951	1,1,1,1
4	spot	30	58.5	11.35534	0	360	76	26.19274	3.145439	1,1,1,1
5	spot	30	58.5	40.91837	20.21832	282.207	89	45.62518	1.781758	1,1,1,1
6	spot	30	58.5	61.9113	28.81109	249.9239	100	30.28378	1.78176	1,1,1,1
7	spot	0	58.5	50.93266	37.40388	253.3591	100	59.94383	1.009006	1,1,1,1
8	spot	0	58.5	48.14498	49.53487	259.6305	66	14.43097	2.418145	1,1,1,1
10	spot	-30	58.5	54.28431	16.17466	135.4593	88	19.5448	6.509185	1,1,1,1
11	spot	-30	58.5	68.04274	8.396303	169.3241	61	32.84067	2.645422	1,1,1,1
12	spot	0	58.5	41.47512	53.57854	154.2731	117	25.16998	4.418209	1,1,1,1
13	spot	0	58.5	20.63979	24.76743	15.05102	124	25.16998	2.372688	1,1,1,1
14	spot	-30	58.5	24.59744	28.8111	79.01802	85	24.14721	1.509024	1,1,1,1
